%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672895449226029,0.0,0.0,0.0,0.0,0.0,0.0
1473672895465913201,0.0,0.0,0.0,0.0,0.0,0.0
1473672895482590867,0.0,0.0,0.0,0.0,0.0,0.0
1473672895499207529,0.0,0.0,0.0,0.0,0.0,0.0
1473672895515923253,0.0,0.0,0.0,0.0,0.0,0.0
1473672895532532164,0.0,0.0,0.0,0.0,0.0,0.0
1473672895549268703,0.0,0.0,0.0,0.0,0.0,0.0
1473672895565911738,0.0,0.0,0.0,0.0,0.0,0.0
1473672895582585914,0.0,0.0,0.0,0.0,0.0,0.0
1473672895599310350,0.0,0.0,0.0,0.0,0.0,0.0
1473672895615979264,0.0,0.0,0.0,0.0,0.0,0.0
1473672895632575532,0.0,0.0,0.0,0.0,0.0,0.0
1473672895649276612,0.0,0.0,0.0,0.0,0.0,0.0
1473672895665962062,0.0,0.0,0.0,0.0,0.0,0.0
1473672895682543760,0.0,0.0,0.0,0.0,0.0,0.0
1473672895699262459,0.0,0.0,0.0,0.0,0.0,0.0
1473672895715904720,0.0,0.0,0.0,0.0,0.0,0.0
1473672895732605578,0.0,0.0,0.0,0.0,0.0,0.0
1473672895749284890,0.0,0.0,0.0,0.0,0.0,0.0
1473672895765929239,0.0,0.0,0.0,0.0,0.0,0.0
1473672895782606541,0.0,0.0,0.0,0.0,0.0,0.0
1473672895799262222,0.0,0.0,0.0,0.0,0.0,0.0
1473672895815932080,0.0,0.0,0.0,0.0,0.0,0.0
1473672895832583038,0.0,0.0,0.0,0.0,0.0,0.0
1473672895849285034,0.0,0.0,0.0,0.0,0.0,0.0
1473672895865942993,0.0,0.0,0.0,0.0,0.0,0.0
1473672895882564690,0.0,0.0,0.0,0.0,0.0,0.0
1473672895899237550,0.0,0.0,0.0,0.0,0.0,0.0
1473672895915951321,0.0,0.0,0.0,0.0,0.0,0.0
1473672895932599661,0.0,0.0,0.0,0.0,0.0,0.0
1473672895949224115,0.0,0.0,0.0,0.0,0.0,0.0
1473672895965891988,0.0,0.0,0.0,0.0,0.0,0.0
1473672895982617205,0.0,0.0,0.0,0.0,0.0,0.0
1473672895999263166,0.0,0.0,0.0,0.0,0.0,0.0
1473672896015979910,0.0,0.0,0.0,0.0,0.0,0.0
1473672896032573029,0.0,0.0,0.0,0.0,0.0,0.0
1473672896049270668,0.0,0.0,0.0,0.0,0.0,0.0
1473672896065934910,0.0,0.0,0.0,0.0,0.0,0.0
1473672896082625955,0.0,0.0,0.0,0.0,0.0,0.0
1473672896099267889,0.0,0.0,0.0,0.0,0.0,0.0
