%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672895449234194,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895465920316,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895482635853,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895499255905,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895515967988,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895532583316,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895549312345,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895565929301,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895582629603,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895599369639,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895616012467,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895632661630,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895649342467,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895666032865,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895682579813,-0.0,0.0,0.0,0.0,0.0,0.0
1473672895699292167,-0.0139308962971,0.0,0.0,0.0,0.0,0.0
1473672895715931449,-0.038891825825,0.0,0.0,0.0,0.0,0.0
1473672895732692743,-0.0804933682084,0.0,0.0,0.0,0.0,0.0
1473672895749291767,-0.113774612546,0.0,0.0,0.0,0.0,0.0
1473672895765952813,-0.163696467876,0.0,0.0,0.0,0.0,0.0
1473672895782616716,-0.18033708632,0.0,0.0,0.0,0.0,0.0
1473672895799286874,-0.213618323207,0.0,0.0,0.0,0.0,0.0
1473672895816066468,-0.246899560094,0.0,0.0,0.0,0.0,0.0
1473672895832653848,-0.288501113653,0.0,0.0,0.0,0.0,0.0
1473672895849339510,-0.321814477444,0.0,0.0,0.0,0.0,0.0
1473672895865946930,-0.363416016102,0.0,0.0,0.0,0.0,0.0
1473672895882590282,-0.40501755476,0.0,0.0,0.0,0.0,0.0
1473672895899272055,-0.421658188105,0.0,0.0,0.0,0.0,0.0
1473672895916032240,-0.429978489876,0.0,0.0,0.0,0.0,0.0
1473672895932630633,-0.429978489876,0.0,0.0,0.0,0.0,0.0
1473672895949253313,-0.438298791647,0.0,0.0,0.0,0.0,0.0
1473672895965915592,-0.438298791647,0.0,0.0,0.0,0.0,0.0
1473672895982624798,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672895999335226,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896015987263,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896032605264,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896049312712,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896065989092,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896082677266,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896099267887,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896115968211,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896132627281,-0.44661912322,0.0,0.0,0.0,0.0,0.0
1473672896149246899,-0.454939424992,0.0,0.0,0.0,0.0,0.0
1473672896166006865,-0.454939424992,0.0,0.0,0.0,0.0,0.0
1473672896182599387,-0.454939424992,0.0,0.0,0.0,0.0,0.0
1473672896199295129,-0.454939424992,0.0,0.0,0.0,0.0,0.0
1473672896215909767,-0.454939424992,0.0,0.0,0.0,0.0,0.0
1473672896232617756,-0.463259726763,0.0,0.0,0.0,0.0,0.0
1473672896249253283,-0.463259726763,0.0,0.0,0.0,0.0,0.0
1473672896266015121,-0.463259726763,0.0,0.0,0.0,0.0,0.0
1473672896282633145,-0.471580028534,0.0,0.0,0.0,0.0,0.0
1473672896299256909,-0.471580028534,0.0,0.0,0.0,0.0,0.0
1473672896316191125,-0.471580028534,0.0,0.0,0.0,0.0,0.0
1473672896332673791,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896349435110,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896365931876,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896382658562,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896399253536,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896415942809,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896432671771,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896449297563,-0.479900360107,0.0,0.0,0.0,0.0,0.0
1473672896466088143,-0.488220661879,0.0,0.0,0.0,0.0,0.0
1473672896482627647,-0.49654096365,0.0,0.0,0.0,0.0,0.0
1473672896499280184,-0.504861295223,0.0,0.0,0.0,0.0,0.0
1473672896515961397,-0.513181567192,0.0,0.0,0.0,0.0,0.0
1473672896532685892,-0.521501898766,0.0,0.0,0.0,0.0,0.0
1473672896549255139,-0.529822230339,0.0,0.0,0.0,0.0,0.0
1473672896565946238,-0.546462833881,0.0,0.0,0.0,0.0,0.0
1473672896582564190,-0.546462833881,0.0,0.0,0.0,0.0,0.0
1473672896599330857,-0.55478310585,0.0,0.0,0.0,0.0,0.0
1473672896615954052,-0.571423768997,0.0,0.0,0.0,0.0,0.0
1473672896632655144,-0.579744040966,0.0,0.0,0.0,0.0,0.0
1473672896649259633,-0.604704976082,0.0,0.0,0.0,0.0,0.0
1473672896665922846,-0.629665911198,0.0,0.0,0.0,0.0,0.0
1473672896682569506,-0.66297930479,0.0,0.0,0.0,0.0,0.0
1473672896699241912,-0.679619908333,0.0,0.0,0.0,0.0,0.0
1473672896715909300,-0.696260511875,0.0,0.0,0.0,0.0,0.0
1473672896732624442,-0.712901115417,0.0,0.0,0.0,0.0,0.0
1473672896749333565,-0.721221446991,0.0,0.0,0.0,0.0,0.0
1473672896765880772,-0.721221446991,0.0,0.0,0.0,0.0,0.0
1473672896782607286,-0.729541778564,0.0,0.0,0.0,0.0,0.0
1473672896799248519,-0.729541778564,0.0,0.0,0.0,0.0,0.0
1473672896815943413,-0.737862050533,0.0,0.0,0.0,0.0,0.0
1473672896832655125,-0.746182382107,0.0,0.0,0.0,0.0,0.0
1473672896849288874,-0.762822985649,0.0,0.0,0.0,0.0,0.0
1473672896865969388,-0.779463589191,0.0,0.0,0.0,0.0,0.0
1473672896882606861,-0.796104252338,0.0,0.0,0.0,0.0,0.0
1473672896899376744,-0.804424524307,0.0,0.0,0.0,0.0,0.0
1473672896915959660,-0.812744855881,0.0,0.0,0.0,0.0,0.0
1473672896932665663,-0.829385459423,0.0,0.0,0.0,0.0,0.0
1473672896949282076,-0.837705790997,0.0,0.0,0.0,0.0,0.0
1473672896965923103,-0.854346394539,0.0,0.0,0.0,0.0,0.0
1473672896982608720,-0.862666726112,0.0,0.0,0.0,0.0,0.0
1473672896999279327,-0.870986998081,0.0,0.0,0.0,0.0,0.0
1473672897015965848,-0.879307329655,0.0,0.0,0.0,0.0,0.0
1473672897032589830,-0.887627661228,0.0,0.0,0.0,0.0,0.0
1473672897049258200,-0.895947933197,0.0,0.0,0.0,0.0,0.0
1473672897065947675,-0.895947933197,0.0,0.0,0.0,0.0,0.0
1473672897082619568,-0.904268264771,0.0,0.0,0.0,0.0,0.0
1473672897099281359,-0.912588536739,0.0,0.0,0.0,0.0,0.0
1473672897116015942,-0.912588536739,0.0,0.0,0.0,0.0,0.0
1473672897132681068,-0.920908868313,0.0,0.0,0.0,0.0,0.0
1473672897149259777,-0.929229199886,0.0,0.0,0.0,0.0,0.0
1473672897166000151,-0.929229199886,0.0,0.0,0.0,0.0,0.0
1473672897182583766,-0.929229199886,0.0,0.0,0.0,0.0,0.0
1473672897199311779,-0.929229199886,0.0,0.0,0.0,0.0,0.0
1473672897215929442,-0.937549471855,0.0,0.0,0.0,0.0,0.0
1473672897232653787,-0.954190135002,0.0,0.0,0.0,0.0,0.0
1473672897249293190,-0.954190135002,0.0,0.0,0.0,0.0,0.0
